Site_code,Time,Site,RCVA_adult,RCVA_juvenile,n_RCVA_adult,n_RCVA_juvenile,RHD1_adult,RHD1_juvenile,n_RHD1_adult,n_RHD1_juvenile,RHD2_adult,RHD2_juvenile,n_RHD2_adult,n_RHD2_juvenile
9,3,Kerang,3,0,17,2,11,0,17,2,6,1,17,2
9,4,Kerang,5,0,20,0,0,0,0,0,6,0,20,0
9,5,Kerang,11,0,15,5,14,1,15,5,0,4,15,5
9,6,Kerang,4,0,10,7,7,4,10,7,1,1,10,8
9,7,Kerang,3,1,13,6,10,0,13,6,0,2,13,6
9,8,Kerang,5,0,17,1,6,0,17,1,5,0,17,1
9,9,Kerang,4,14,4,15,3,3,4,15,1,5,4,15
9,10,Kerang,12,2,12,5,0,0,12,5,10,1,12,5
9,11,Kerang,12,1,14,1,3,0,14,1,3,0,14,1
10,2,Kiandra,12,1,13,1,3,1,13,1,2,0,13,1
10,3,Kiandra,11,3,12,3,11,1,13,3,1,0,13,3
10,4,Kiandra,10,1,13,2,9,0,13,2,1,1,13,2
10,5,Kiandra,6,0,6,0,3,0,6,0,1,0,6,0
10,6,Kiandra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,7,Kiandra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,8,Kiandra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,9,Kiandra,0,0,1,0,0,0,1,0,0,0,1,0
10,10,Kiandra,1,0,2,0,2,0,2,0,0,0,2,0
10,11,Kiandra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,12,Kiandra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,13,Kiandra,1,0,1,0,0,0,1,0,1,0,1,0
11,1,Mirrabooka,55,9,66,14,37,4,66,14,2,0,65,14
11,2,Mirrabooka,18,0,20,0,13,0,20,0,3,0,20,0
11,3,Mirrabooka,9,0,11,0,5,0,11,0,3,0,11,0
11,4,Mirrabooka,19,0,19,0,13,0,19,0,3,0,19,0
11,5,Mirrabooka,4,0,13,7,3,0,13,7,5,0,13,7
11,6,Mirrabooka,13,0,20,0,7,0,20,0,4,0,20,0
11,7,Mirrabooka,7,0,15,0,7,0,15,0,5,0,15,0
11,8,Mirrabooka,3,0,3,0,2,0,3,0,1,0,3,0
11,9,Mirrabooka,13,0,17,0,6,0,17,0,4,0,17,0
11,10,Mirrabooka,3,0,11,0,6,0,11,0,1,0,11,0
11,11,Mirrabooka,3,0,4,0,0,0,4,0,2,0,4,0
11,12,Mirrabooka,9,0,10,0,4,0,10,0,4,0,10,0
11,13,Mirrabooka,5,0,8,4,1,0,8,4,2,0,8,4
12,1,Nelsons,3,2,35,11,2,1,29,11,0,0,41,12
12,2,Nelsons,0,0,3,2,1,1,3,2,2,0,3,2
12,3,Nelsons,1,0,5,3,0,0,5,3,5,0,5,3
12,4,Nelsons,0,0,8,2,1,0,8,2,2,0,8,2
12,5,Nelsons,0,0,7,2,0,0,7,2,1,1,7,2
12,6,Nelsons,0,0,7,5,1,0,7,5,1,0,7,5
12,7,Nelsons,0,0,9,3,0,0,9,3,1,0,9,3
13,1,Oaky Creek,220,26,257,52,154,11,257,52,0,0,79,13
13,2,Oaky Creek,19,1,19,1,11,1,19,1,3,0,19,1
13,3,Oaky Creek,19,0,20,0,12,0,20,0,3,0,20,0
13,4,Oaky Creek,15,0,19,1,6,0,19,1,5,0,19,1
13,5,Oaky Creek,14,4,14,6,8,0,14,6,0,0,0,0
13,6,Oaky Creek,10,3,14,4,1,0,14,4,5,2,14,4
13,7,Oaky Creek,16,0,18,2,0,0,0,0,7,2,18,2
13,8,Oaky Creek,17,0,20,0,6,0,20,0,5,0,20,0
13,9,Oaky Creek,10,0,17,0,6,0,17,0,7,0,17,0
13,10,Oaky Creek,3,0,8,1,3,1,8,1,3,0,8,1
13,11,Oaky Creek,10,0,20,0,1,0,20,0,12,0,20,0
13,12,Oaky Creek,11,0,19,1,2,0,19,1,10,1,19,1
13,13,Oaky Creek,10,1,15,5,6,3,15,5,5,1,12,5
13,14,Oaky Creek,8,0,18,1,4,0,18,1,9,0,18,1
